ticker,event_ticker,series_ticker,title,strike_value,target_date,city,last_price,volume,status,result,implied_prob,actual_outcome
HIGHCHI-02FEB26-T34,HIGHCHI-02FEB26,KXHIGHCHI,High temp in CHI on 2026-02-02 >= 34°F,34,2026-02-02,CHI,27,2329,settled,no,0.27,0
HIGHCHI-02FEB26-T38,HIGHCHI-02FEB26,KXHIGHCHI,High temp in CHI on 2026-02-02 >= 38°F,38,2026-02-02,CHI,8,4431,settled,no,0.08,0
HIGHCHI-02JAN26-T15,HIGHCHI-02JAN26,KXHIGHCHI,High temp in CHI on 2026-01-02 >= 15°F,15,2026-01-02,CHI,76,920,settled,yes,0.76,1
HIGHCHI-02JAN26-T20,HIGHCHI-02JAN26,KXHIGHCHI,High temp in CHI on 2026-01-02 >= 20°F,20,2026-01-02,CHI,57,1043,settled,yes,0.57,1
HIGHCHI-02JAN26-T25,HIGHCHI-02JAN26,KXHIGHCHI,High temp in CHI on 2026-01-02 >= 25°F,25,2026-01-02,CHI,85,2024,settled,yes,0.85,1
HIGHCHI-02JAN26-T30,HIGHCHI-02JAN26,KXHIGHCHI,High temp in CHI on 2026-01-02 >= 30°F,30,2026-01-02,CHI,64,3899,settled,yes,0.64,1
HIGHCHI-02JAN26-T35,HIGHCHI-02JAN26,KXHIGHCHI,High temp in CHI on 2026-01-02 >= 35°F,35,2026-01-02,CHI,17,932,settled,no,0.17,0
HIGHCHI-02MAR26-T30,HIGHCHI-02MAR26,KXHIGHCHI,High temp in CHI on 2026-03-02 >= 30°F,30,2026-03-02,CHI,65,1832,settled,yes,0.65,1
HIGHCHI-02MAR26-T34,HIGHCHI-02MAR26,KXHIGHCHI,High temp in CHI on 2026-03-02 >= 34°F,34,2026-03-02,CHI,62,1607,settled,yes,0.62,1
HIGHCHI-02MAR26-T40,HIGHCHI-02MAR26,KXHIGHCHI,High temp in CHI on 2026-03-02 >= 40°F,40,2026-03-02,CHI,64,1687,settled,yes,0.64,1
HIGHCHI-02MAR26-T44,HIGHCHI-02MAR26,KXHIGHCHI,High temp in CHI on 2026-03-02 >= 44°F,44,2026-03-02,CHI,12,4088,settled,no,0.12,0
HIGHCHI-02MAR26-T50,HIGHCHI-02MAR26,KXHIGHCHI,High temp in CHI on 2026-03-02 >= 50°F,50,2026-03-02,CHI,35,3367,settled,no,0.35,0
HIGHCHI-03FEB26-T18,HIGHCHI-03FEB26,KXHIGHCHI,High temp in CHI on 2026-02-03 >= 18°F,18,2026-02-03,CHI,83,836,settled,yes,0.83,1
HIGHCHI-03FEB26-T24,HIGHCHI-03FEB26,KXHIGHCHI,High temp in CHI on 2026-02-03 >= 24°F,24,2026-02-03,CHI,88,923,settled,yes,0.88,1
HIGHCHI-03FEB26-T28,HIGHCHI-03FEB26,KXHIGHCHI,High temp in CHI on 2026-02-03 >= 28°F,28,2026-02-03,CHI,65,1546,settled,yes,0.65,1
HIGHCHI-03FEB26-T34,HIGHCHI-03FEB26,KXHIGHCHI,High temp in CHI on 2026-02-03 >= 34°F,34,2026-02-03,CHI,19,2780,settled,no,0.19,0
HIGHCHI-03FEB26-T38,HIGHCHI-03FEB26,KXHIGHCHI,High temp in CHI on 2026-02-03 >= 38°F,38,2026-02-03,CHI,44,1429,settled,no,0.44,0
HIGHCHI-03JAN26-T15,HIGHCHI-03JAN26,KXHIGHCHI,High temp in CHI on 2026-01-03 >= 15°F,15,2026-01-03,CHI,96,4912,settled,yes,0.96,1
HIGHCHI-03JAN26-T20,HIGHCHI-03JAN26,KXHIGHCHI,High temp in CHI on 2026-01-03 >= 20°F,20,2026-01-03,CHI,84,864,settled,yes,0.84,1
HIGHCHI-03JAN26-T25,HIGHCHI-03JAN26,KXHIGHCHI,High temp in CHI on 2026-01-03 >= 25°F,25,2026-01-03,CHI,35,1083,settled,no,0.35,0
HIGHCHI-03JAN26-T30,HIGHCHI-03JAN26,KXHIGHCHI,High temp in CHI on 2026-01-03 >= 30°F,30,2026-01-03,CHI,43,115,settled,no,0.43,0
HIGHCHI-03JAN26-T35,HIGHCHI-03JAN26,KXHIGHCHI,High temp in CHI on 2026-01-03 >= 35°F,35,2026-01-03,CHI,23,3475,settled,no,0.23,0
HIGHCHI-03MAR26-T30,HIGHCHI-03MAR26,KXHIGHCHI,High temp in CHI on 2026-03-03 >= 30°F,30,2026-03-03,CHI,72,519,settled,yes,0.72,1
HIGHCHI-03MAR26-T34,HIGHCHI-03MAR26,KXHIGHCHI,High temp in CHI on 2026-03-03 >= 34°F,34,2026-03-03,CHI,27,798,settled,no,0.27,0
HIGHCHI-03MAR26-T40,HIGHCHI-03MAR26,KXHIGHCHI,High temp in CHI on 2026-03-03 >= 40°F,40,2026-03-03,CHI,37,4689,settled,no,0.37,0
HIGHCHI-03MAR26-T44,HIGHCHI-03MAR26,KXHIGHCHI,High temp in CHI on 2026-03-03 >= 44°F,44,2026-03-03,CHI,26,302,settled,no,0.26,0
HIGHCHI-03MAR26-T50,HIGHCHI-03MAR26,KXHIGHCHI,High temp in CHI on 2026-03-03 >= 50°F,50,2026-03-03,CHI,9,4908,settled,no,0.09,0
HIGHCHI-04FEB26-T18,HIGHCHI-04FEB26,KXHIGHCHI,High temp in CHI on 2026-02-04 >= 18°F,18,2026-02-04,CHI,85,536,settled,yes,0.85,1
HIGHCHI-04FEB26-T24,HIGHCHI-04FEB26,KXHIGHCHI,High temp in CHI on 2026-02-04 >= 24°F,24,2026-02-04,CHI,9,4773,settled,no,0.09,0
HIGHCHI-04FEB26-T28,HIGHCHI-04FEB26,KXHIGHCHI,High temp in CHI on 2026-02-04 >= 28°F,28,2026-02-04,CHI,17,926,settled,no,0.17,0
HIGHCHI-04FEB26-T34,HIGHCHI-04FEB26,KXHIGHCHI,High temp in CHI on 2026-02-04 >= 34°F,34,2026-02-04,CHI,34,2115,settled,no,0.34,0
HIGHCHI-04FEB26-T38,HIGHCHI-04FEB26,KXHIGHCHI,High temp in CHI on 2026-02-04 >= 38°F,38,2026-02-04,CHI,42,1235,settled,no,0.42,0
HIGHCHI-04JAN26-T15,HIGHCHI-04JAN26,KXHIGHCHI,High temp in CHI on 2026-01-04 >= 15°F,15,2026-01-04,CHI,64,2897,settled,yes,0.64,1
HIGHCHI-04JAN26-T20,HIGHCHI-04JAN26,KXHIGHCHI,High temp in CHI on 2026-01-04 >= 20°F,20,2026-01-04,CHI,98,1108,settled,yes,0.98,1
HIGHCHI-04JAN26-T25,HIGHCHI-04JAN26,KXHIGHCHI,High temp in CHI on 2026-01-04 >= 25°F,25,2026-01-04,CHI,55,1928,settled,yes,0.55,1
HIGHCHI-04JAN26-T30,HIGHCHI-04JAN26,KXHIGHCHI,High temp in CHI on 2026-01-04 >= 30°F,30,2026-01-04,CHI,35,745,settled,no,0.35,0
HIGHCHI-04JAN26-T35,HIGHCHI-04JAN26,KXHIGHCHI,High temp in CHI on 2026-01-04 >= 35°F,35,2026-01-04,CHI,33,2295,settled,no,0.33,0
HIGHCHI-04MAR26-T30,HIGHCHI-04MAR26,KXHIGHCHI,High temp in CHI on 2026-03-04 >= 30°F,30,2026-03-04,CHI,87,3164,settled,yes,0.87,1
HIGHCHI-04MAR26-T34,HIGHCHI-04MAR26,KXHIGHCHI,High temp in CHI on 2026-03-04 >= 34°F,34,2026-03-04,CHI,60,3610,settled,yes,0.6,1
HIGHCHI-04MAR26-T40,HIGHCHI-04MAR26,KXHIGHCHI,High temp in CHI on 2026-03-04 >= 40°F,40,2026-03-04,CHI,78,4648,settled,yes,0.78,1
HIGHCHI-04MAR26-T44,HIGHCHI-04MAR26,KXHIGHCHI,High temp in CHI on 2026-03-04 >= 44°F,44,2026-03-04,CHI,53,551,settled,no,0.53,0
HIGHCHI-04MAR26-T50,HIGHCHI-04MAR26,KXHIGHCHI,High temp in CHI on 2026-03-04 >= 50°F,50,2026-03-04,CHI,26,1265,settled,no,0.26,0
HIGHCHI-05FEB26-T18,HIGHCHI-05FEB26,KXHIGHCHI,High temp in CHI on 2026-02-05 >= 18°F,18,2026-02-05,CHI,91,2845,settled,yes,0.91,1
HIGHCHI-05FEB26-T24,HIGHCHI-05FEB26,KXHIGHCHI,High temp in CHI on 2026-02-05 >= 24°F,24,2026-02-05,CHI,80,3428,settled,yes,0.8,1
HIGHCHI-05FEB26-T28,HIGHCHI-05FEB26,KXHIGHCHI,High temp in CHI on 2026-02-05 >= 28°F,28,2026-02-05,CHI,6,3735,settled,no,0.06,0
HIGHCHI-05FEB26-T34,HIGHCHI-05FEB26,KXHIGHCHI,High temp in CHI on 2026-02-05 >= 34°F,34,2026-02-05,CHI,1,4765,settled,no,0.01,0
HIGHCHI-05FEB26-T38,HIGHCHI-05FEB26,KXHIGHCHI,High temp in CHI on 2026-02-05 >= 38°F,38,2026-02-05,CHI,13,1519,settled,no,0.13,0
HIGHCHI-05JAN26-T15,HIGHCHI-05JAN26,KXHIGHCHI,High temp in CHI on 2026-01-05 >= 15°F,15,2026-01-05,CHI,84,4783,settled,yes,0.84,1
HIGHCHI-05JAN26-T20,HIGHCHI-05JAN26,KXHIGHCHI,High temp in CHI on 2026-01-05 >= 20°F,20,2026-01-05,CHI,88,1763,settled,yes,0.88,1
HIGHCHI-05JAN26-T25,HIGHCHI-05JAN26,KXHIGHCHI,High temp in CHI on 2026-01-05 >= 25°F,25,2026-01-05,CHI,12,2270,settled,no,0.12,0
HIGHCHI-05JAN26-T30,HIGHCHI-05JAN26,KXHIGHCHI,High temp in CHI on 2026-01-05 >= 30°F,30,2026-01-05,CHI,51,1587,settled,no,0.51,0
HIGHCHI-05JAN26-T35,HIGHCHI-05JAN26,KXHIGHCHI,High temp in CHI on 2026-01-05 >= 35°F,35,2026-01-05,CHI,50,4837,settled,no,0.5,0
HIGHCHI-05MAR26-T30,HIGHCHI-05MAR26,KXHIGHCHI,High temp in CHI on 2026-03-05 >= 30°F,30,2026-03-05,CHI,80,4749,settled,yes,0.8,1
HIGHCHI-05MAR26-T34,HIGHCHI-05MAR26,KXHIGHCHI,High temp in CHI on 2026-03-05 >= 34°F,34,2026-03-05,CHI,33,2589,settled,no,0.33,0
HIGHCHI-05MAR26-T40,HIGHCHI-05MAR26,KXHIGHCHI,High temp in CHI on 2026-03-05 >= 40°F,40,2026-03-05,CHI,9,4041,settled,no,0.09,0
HIGHCHI-05MAR26-T44,HIGHCHI-05MAR26,KXHIGHCHI,High temp in CHI on 2026-03-05 >= 44°F,44,2026-03-05,CHI,25,126,settled,no,0.25,0
HIGHCHI-05MAR26-T50,HIGHCHI-05MAR26,KXHIGHCHI,High temp in CHI on 2026-03-05 >= 50°F,50,2026-03-05,CHI,38,3634,settled,no,0.38,0
HIGHCHI-06FEB26-T18,HIGHCHI-06FEB26,KXHIGHCHI,High temp in CHI on 2026-02-06 >= 18°F,18,2026-02-06,CHI,49,3118,settled,yes,0.49,1
HIGHCHI-06FEB26-T24,HIGHCHI-06FEB26,KXHIGHCHI,High temp in CHI on 2026-02-06 >= 24°F,24,2026-02-06,CHI,62,4697,settled,yes,0.62,1
HIGHCHI-06FEB26-T28,HIGHCHI-06FEB26,KXHIGHCHI,High temp in CHI on 2026-02-06 >= 28°F,28,2026-02-06,CHI,36,465,settled,no,0.36,0
HIGHCHI-06FEB26-T34,HIGHCHI-06FEB26,KXHIGHCHI,High temp in CHI on 2026-02-06 >= 34°F,34,2026-02-06,CHI,42,782,settled,no,0.42,0
HIGHCHI-06FEB26-T38,HIGHCHI-06FEB26,KXHIGHCHI,High temp in CHI on 2026-02-06 >= 38°F,38,2026-02-06,CHI,19,4849,settled,no,0.19,0
HIGHCHI-06JAN26-T15,HIGHCHI-06JAN26,KXHIGHCHI,High temp in CHI on 2026-01-06 >= 15°F,15,2026-01-06,CHI,56,1250,settled,yes,0.56,1
HIGHCHI-06JAN26-T20,HIGHCHI-06JAN26,KXHIGHCHI,High temp in CHI on 2026-01-06 >= 20°F,20,2026-01-06,CHI,67,1410,settled,yes,0.67,1
HIGHCHI-06JAN26-T25,HIGHCHI-06JAN26,KXHIGHCHI,High temp in CHI on 2026-01-06 >= 25°F,25,2026-01-06,CHI,1,3071,settled,no,0.01,0
HIGHCHI-06JAN26-T30,HIGHCHI-06JAN26,KXHIGHCHI,High temp in CHI on 2026-01-06 >= 30°F,30,2026-01-06,CHI,23,1499,settled,no,0.23,0
HIGHCHI-06JAN26-T35,HIGHCHI-06JAN26,KXHIGHCHI,High temp in CHI on 2026-01-06 >= 35°F,35,2026-01-06,CHI,37,3352,settled,no,0.37,0
HIGHCHI-06MAR26-T30,HIGHCHI-06MAR26,KXHIGHCHI,High temp in CHI on 2026-03-06 >= 30°F,30,2026-03-06,CHI,60,3108,settled,yes,0.6,1
HIGHCHI-06MAR26-T34,HIGHCHI-06MAR26,KXHIGHCHI,High temp in CHI on 2026-03-06 >= 34°F,34,2026-03-06,CHI,66,3206,settled,yes,0.66,1
HIGHCHI-06MAR26-T40,HIGHCHI-06MAR26,KXHIGHCHI,High temp in CHI on 2026-03-06 >= 40°F,40,2026-03-06,CHI,30,2436,settled,no,0.3,0
HIGHCHI-06MAR26-T44,HIGHCHI-06MAR26,KXHIGHCHI,High temp in CHI on 2026-03-06 >= 44°F,44,2026-03-06,CHI,26,1464,settled,no,0.26,0
HIGHCHI-06MAR26-T50,HIGHCHI-06MAR26,KXHIGHCHI,High temp in CHI on 2026-03-06 >= 50°F,50,2026-03-06,CHI,47,62,settled,no,0.47,0
HIGHCHI-07FEB26-T18,HIGHCHI-07FEB26,KXHIGHCHI,High temp in CHI on 2026-02-07 >= 18°F,18,2026-02-07,CHI,84,2443,settled,yes,0.84,1
HIGHCHI-07FEB26-T24,HIGHCHI-07FEB26,KXHIGHCHI,High temp in CHI on 2026-02-07 >= 24°F,24,2026-02-07,CHI,66,2190,settled,yes,0.66,1
HIGHCHI-07FEB26-T28,HIGHCHI-07FEB26,KXHIGHCHI,High temp in CHI on 2026-02-07 >= 28°F,28,2026-02-07,CHI,70,393,settled,yes,0.7,1
HIGHCHI-07FEB26-T34,HIGHCHI-07FEB26,KXHIGHCHI,High temp in CHI on 2026-02-07 >= 34°F,34,2026-02-07,CHI,6,434,settled,no,0.06,0
HIGHCHI-07FEB26-T38,HIGHCHI-07FEB26,KXHIGHCHI,High temp in CHI on 2026-02-07 >= 38°F,38,2026-02-07,CHI,9,4378,settled,no,0.09,0
HIGHCHI-07JAN26-T15,HIGHCHI-07JAN26,KXHIGHCHI,High temp in CHI on 2026-01-07 >= 15°F,15,2026-01-07,CHI,99,4642,settled,yes,0.99,1
HIGHCHI-07JAN26-T20,HIGHCHI-07JAN26,KXHIGHCHI,High temp in CHI on 2026-01-07 >= 20°F,20,2026-01-07,CHI,99,3821,settled,yes,0.99,1
HIGHCHI-07JAN26-T25,HIGHCHI-07JAN26,KXHIGHCHI,High temp in CHI on 2026-01-07 >= 25°F,25,2026-01-07,CHI,75,4334,settled,yes,0.75,1
HIGHCHI-07JAN26-T30,HIGHCHI-07JAN26,KXHIGHCHI,High temp in CHI on 2026-01-07 >= 30°F,30,2026-01-07,CHI,10,4285,settled,no,0.1,0
HIGHCHI-07JAN26-T35,HIGHCHI-07JAN26,KXHIGHCHI,High temp in CHI on 2026-01-07 >= 35°F,35,2026-01-07,CHI,16,3646,settled,no,0.16,0
HIGHCHI-07MAR26-T30,HIGHCHI-07MAR26,KXHIGHCHI,High temp in CHI on 2026-03-07 >= 30°F,30,2026-03-07,CHI,81,3721,settled,yes,0.81,1
HIGHCHI-07MAR26-T34,HIGHCHI-07MAR26,KXHIGHCHI,High temp in CHI on 2026-03-07 >= 34°F,34,2026-03-07,CHI,50,3071,settled,yes,0.5,1
HIGHCHI-07MAR26-T40,HIGHCHI-07MAR26,KXHIGHCHI,High temp in CHI on 2026-03-07 >= 40°F,40,2026-03-07,CHI,39,1523,settled,no,0.39,0
HIGHCHI-07MAR26-T44,HIGHCHI-07MAR26,KXHIGHCHI,High temp in CHI on 2026-03-07 >= 44°F,44,2026-03-07,CHI,37,4459,settled,no,0.37,0
HIGHCHI-07MAR26-T50,HIGHCHI-07MAR26,KXHIGHCHI,High temp in CHI on 2026-03-07 >= 50°F,50,2026-03-07,CHI,15,1022,settled,no,0.15,0
HIGHCHI-08FEB26-T18,HIGHCHI-08FEB26,KXHIGHCHI,High temp in CHI on 2026-02-08 >= 18°F,18,2026-02-08,CHI,65,1119,settled,yes,0.65,1
HIGHCHI-08FEB26-T24,HIGHCHI-08FEB26,KXHIGHCHI,High temp in CHI on 2026-02-08 >= 24°F,24,2026-02-08,CHI,64,942,settled,yes,0.64,1
HIGHCHI-08FEB26-T28,HIGHCHI-08FEB26,KXHIGHCHI,High temp in CHI on 2026-02-08 >= 28°F,28,2026-02-08,CHI,97,2161,settled,yes,0.97,1
HIGHCHI-08FEB26-T34,HIGHCHI-08FEB26,KXHIGHCHI,High temp in CHI on 2026-02-08 >= 34°F,34,2026-02-08,CHI,46,4186,settled,no,0.46,0
HIGHCHI-08FEB26-T38,HIGHCHI-08FEB26,KXHIGHCHI,High temp in CHI on 2026-02-08 >= 38°F,38,2026-02-08,CHI,46,75,settled,no,0.46,0
HIGHCHI-08JAN26-T15,HIGHCHI-08JAN26,KXHIGHCHI,High temp in CHI on 2026-01-08 >= 15°F,15,2026-01-08,CHI,99,2885,settled,yes,0.99,1
HIGHCHI-08JAN26-T20,HIGHCHI-08JAN26,KXHIGHCHI,High temp in CHI on 2026-01-08 >= 20°F,20,2026-01-08,CHI,74,2369,settled,yes,0.74,1
HIGHCHI-08JAN26-T25,HIGHCHI-08JAN26,KXHIGHCHI,High temp in CHI on 2026-01-08 >= 25°F,25,2026-01-08,CHI,62,3312,settled,yes,0.62,1
HIGHCHI-08JAN26-T30,HIGHCHI-08JAN26,KXHIGHCHI,High temp in CHI on 2026-01-08 >= 30°F,30,2026-01-08,CHI,45,3531,settled,no,0.45,0
HIGHCHI-08JAN26-T35,HIGHCHI-08JAN26,KXHIGHCHI,High temp in CHI on 2026-01-08 >= 35°F,35,2026-01-08,CHI,50,2811,settled,no,0.5,0
HIGHCHI-08MAR26-T30,HIGHCHI-08MAR26,KXHIGHCHI,High temp in CHI on 2026-03-08 >= 30°F,30,2026-03-08,CHI,86,4258,settled,yes,0.86,1
HIGHCHI-08MAR26-T34,HIGHCHI-08MAR26,KXHIGHCHI,High temp in CHI on 2026-03-08 >= 34°F,34,2026-03-08,CHI,90,430,settled,yes,0.9,1
HIGHCHI-08MAR26-T40,HIGHCHI-08MAR26,KXHIGHCHI,High temp in CHI on 2026-03-08 >= 40°F,40,2026-03-08,CHI,49,1910,settled,yes,0.49,1
HIGHCHI-08MAR26-T44,HIGHCHI-08MAR26,KXHIGHCHI,High temp in CHI on 2026-03-08 >= 44°F,44,2026-03-08,CHI,21,1605,settled,no,0.21,0
HIGHCHI-08MAR26-T50,HIGHCHI-08MAR26,KXHIGHCHI,High temp in CHI on 2026-03-08 >= 50°F,50,2026-03-08,CHI,42,3209,settled,no,0.42,0
HIGHCHI-09FEB26-T18,HIGHCHI-09FEB26,KXHIGHCHI,High temp in CHI on 2026-02-09 >= 18°F,18,2026-02-09,CHI,64,1341,settled,yes,0.64,1
HIGHCHI-09FEB26-T24,HIGHCHI-09FEB26,KXHIGHCHI,High temp in CHI on 2026-02-09 >= 24°F,24,2026-02-09,CHI,62,429,settled,yes,0.62,1
HIGHCHI-09FEB26-T28,HIGHCHI-09FEB26,KXHIGHCHI,High temp in CHI on 2026-02-09 >= 28°F,28,2026-02-09,CHI,51,1487,settled,yes,0.51,1
HIGHCHI-09FEB26-T34,HIGHCHI-09FEB26,KXHIGHCHI,High temp in CHI on 2026-02-09 >= 34°F,34,2026-02-09,CHI,34,2856,settled,no,0.34,0
HIGHCHI-09FEB26-T38,HIGHCHI-09FEB26,KXHIGHCHI,High temp in CHI on 2026-02-09 >= 38°F,38,2026-02-09,CHI,51,2420,settled,no,0.51,0
HIGHCHI-09JAN26-T15,HIGHCHI-09JAN26,KXHIGHCHI,High temp in CHI on 2026-01-09 >= 15°F,15,2026-01-09,CHI,64,3295,settled,yes,0.64,1
HIGHCHI-09JAN26-T20,HIGHCHI-09JAN26,KXHIGHCHI,High temp in CHI on 2026-01-09 >= 20°F,20,2026-01-09,CHI,74,2523,settled,yes,0.74,1
HIGHCHI-09JAN26-T25,HIGHCHI-09JAN26,KXHIGHCHI,High temp in CHI on 2026-01-09 >= 25°F,25,2026-01-09,CHI,7,1113,settled,no,0.07,0
HIGHCHI-09JAN26-T30,HIGHCHI-09JAN26,KXHIGHCHI,High temp in CHI on 2026-01-09 >= 30°F,30,2026-01-09,CHI,36,3245,settled,no,0.36,0
HIGHCHI-09JAN26-T35,HIGHCHI-09JAN26,KXHIGHCHI,High temp in CHI on 2026-01-09 >= 35°F,35,2026-01-09,CHI,1,956,settled,no,0.01,0
HIGHCHI-09MAR26-T30,HIGHCHI-09MAR26,KXHIGHCHI,High temp in CHI on 2026-03-09 >= 30°F,30,2026-03-09,CHI,63,4171,settled,yes,0.63,1
HIGHCHI-09MAR26-T34,HIGHCHI-09MAR26,KXHIGHCHI,High temp in CHI on 2026-03-09 >= 34°F,34,2026-03-09,CHI,40,3251,settled,no,0.4,0
HIGHCHI-09MAR26-T40,HIGHCHI-09MAR26,KXHIGHCHI,High temp in CHI on 2026-03-09 >= 40°F,40,2026-03-09,CHI,34,3942,settled,no,0.34,0
HIGHCHI-09MAR26-T44,HIGHCHI-09MAR26,KXHIGHCHI,High temp in CHI on 2026-03-09 >= 44°F,44,2026-03-09,CHI,25,925,settled,no,0.25,0
HIGHCHI-09MAR26-T50,HIGHCHI-09MAR26,KXHIGHCHI,High temp in CHI on 2026-03-09 >= 50°F,50,2026-03-09,CHI,15,905,settled,no,0.15,0
HIGHCHI-10FEB26-T18,HIGHCHI-10FEB26,KXHIGHCHI,High temp in CHI on 2026-02-10 >= 18°F,18,2026-02-10,CHI,80,4327,settled,yes,0.8,1
HIGHCHI-10FEB26-T24,HIGHCHI-10FEB26,KXHIGHCHI,High temp in CHI on 2026-02-10 >= 24°F,24,2026-02-10,CHI,54,4669,settled,yes,0.54,1
HIGHCHI-10FEB26-T28,HIGHCHI-10FEB26,KXHIGHCHI,High temp in CHI on 2026-02-10 >= 28°F,28,2026-02-10,CHI,45,1855,settled,no,0.45,0
HIGHCHI-10FEB26-T34,HIGHCHI-10FEB26,KXHIGHCHI,High temp in CHI on 2026-02-10 >= 34°F,34,2026-02-10,CHI,37,815,settled,no,0.37,0
HIGHCHI-10FEB26-T38,HIGHCHI-10FEB26,KXHIGHCHI,High temp in CHI on 2026-02-10 >= 38°F,38,2026-02-10,CHI,6,3250,settled,no,0.06,0
HIGHCHI-10JAN26-T15,HIGHCHI-10JAN26,KXHIGHCHI,High temp in CHI on 2026-01-10 >= 15°F,15,2026-01-10,CHI,73,1461,settled,yes,0.73,1
HIGHCHI-10JAN26-T20,HIGHCHI-10JAN26,KXHIGHCHI,High temp in CHI on 2026-01-10 >= 20°F,20,2026-01-10,CHI,87,2097,settled,yes,0.87,1
HIGHCHI-10JAN26-T25,HIGHCHI-10JAN26,KXHIGHCHI,High temp in CHI on 2026-01-10 >= 25°F,25,2026-01-10,CHI,41,3836,settled,no,0.41,0
HIGHCHI-10JAN26-T30,HIGHCHI-10JAN26,KXHIGHCHI,High temp in CHI on 2026-01-10 >= 30°F,30,2026-01-10,CHI,44,3988,settled,no,0.44,0
HIGHCHI-10JAN26-T35,HIGHCHI-10JAN26,KXHIGHCHI,High temp in CHI on 2026-01-10 >= 35°F,35,2026-01-10,CHI,32,1434,settled,no,0.32,0
HIGHCHI-10MAR26-T30,HIGHCHI-10MAR26,KXHIGHCHI,High temp in CHI on 2026-03-10 >= 30°F,30,2026-03-10,CHI,64,437,settled,yes,0.64,1
HIGHCHI-10MAR26-T34,HIGHCHI-10MAR26,KXHIGHCHI,High temp in CHI on 2026-03-10 >= 34°F,34,2026-03-10,CHI,89,4715,settled,yes,0.89,1
HIGHCHI-10MAR26-T40,HIGHCHI-10MAR26,KXHIGHCHI,High temp in CHI on 2026-03-10 >= 40°F,40,2026-03-10,CHI,27,2869,settled,no,0.27,0
